G	42	104085	266554	4087653	
G	43	12	26	38	
G	43	104869	268810	4081995	
G	44	12	26	38	
G	44	104397	269365	4066521	
G	45	12	26	38	
G	45	104727	268976	4076030	
G	46	12	26	38	
G	46	110425	284240	4064867	
G	47	12	26	38	
G	47	109460	280577	4048944	
G	48	12	26	38	
G	48	105951	271363	4044018	
G	49	12	26	38	
G	49	103018	264006	4017702	
G	50	12	26	38	
G	50	103933	267425	3991787	
G	51	12	26	38	
G	51	105888	271321	4008891	
G	52	12	26	38	
G	52	105781	270176	4023471	
G	53	12	26	38	
G	53	107190	273993	4029980	
G	54	12	26	38	
G	54	107480	273240	4045572	
G	55	12	26	38	
G	55	108671	276961	4037488	
G	56	12	26	38	
G	56	106765	272736	4014766	
G	57	12	26	38	
G	57	108810	277009	4024177	
G	58	12	26	38	
G	58	107924	275862	4005809	
G	59	12	26	38	
G	59	107859	275109	3972010	
G	60	12	26	38	
G	60	108309	275868	3979430	
G	61	12	26	38	
G	61	112552	286643	3970639	
G	62	12	26	38	
G	62	110074	279560	3971993	
G	63	12	26	38	
G	63	111479	284615	4009053	
G	64	12	26	38	
G	64	111162	283293	4016611	
G	65	12	26	38	
G	65	112001	284494	3999934	
G	66	12	26	38	
G	66	111612	283383	4017107	
G	67	12	26	38	
G	67	113733	287576	3996547	
G	68	12	26	38	
G	68	111438	282537	3961582	
G	69	12	26	38	
G	69	114142	289510	3972837	
G	70	12	26	38	
G	70	117070	297163	3949650	
G	71	12	26	38	
G	71	120758	307769	3933581	
G	72	12	26	38	
G	72	115365	292644	3959548	
G	73	12	26	38	
G	73	119423	303025	3972351	
G	74	12	26	38	
G	74	117251	296302	3982478	
G	75	12	26	38	
G	75	118171	299370	4005689	
G	76	12	26	38	
